1,-1,Shanelle Bolívar,201,Laptop,Tech Supplies,Wallet,62,599.99,+65519846-10-16T23:37:29.565Z,Canada,null,www.whatever.com,1,Y,N/A
2,-1,Sindy Gardener,202,Keyboard,Tech Supplies,Wallet,55,19.89,-94130216-08-28T03:58:58.926Z,Canada,Vancouver,www.dontlikeyou.com,2,Y,null
3,17,Wade Mathers,101,null,Home Supplies,Internet Banking,57,6,+101875372-06-07T12:19:02.080Z,Canada,Vancouver,www.whatever.com,3,null,Invalid billing address
4,27,Shanelle Bolívar,104,Ladder,Home Supplies,Internet Banking,5,59.98,-204133248-04-16T06:31:33.274Z,Canada,Vancouver,www.fakename.com,null,N,Transaction limit exceeded
5,59,Cory Mcdonald,203,Mouse,Tech Supplies,Wallet,30,5.99,+179406799-02-12T11:48:44.211Z,Italy,Bologna,www.whatever.com,5,Y,N/A
6,-1,Stephanie Burton,-1,Mop,Home Supplies,null,83,12,-243860143-04-20T11:56:20.515Z,Italy,Bologna,www.dontlikeyou.com,6,Y,N/A
7,49,Adolfo Hollins,-1,Mixing bowl,Home Supplies,Internet Banking,19,6.45,-70707632-06-09T09:05:17.523Z,Italy,Bologna,www.dontlikeyou.com,7,N,Invalid payment method
8,-1,David Cortez,204,Charger,Tech Supplies,Internet Banking,77,10.99,+134854813-03-23T01:48:47.828Z,Paraguay,Asunción,www.dontlikeyou.com,8,null,N/A
9,76,Jeremy Mcguire,202,null,Tech Supplies,UPI,75,19.89,+55049749-01-21T08:09:56.172Z,Spain,Córdoba,null,9,N,Invalid billing address
10,-1,Cary Mason,110,Ice cube trays,Home Supplies,Internet Banking,54,2.44,+276512449-09-10T00:53:59.017Z,null,Quito,www.fakewebsite.com,null,N,Transaction limit exceeded
11,10,Stefani Feng,207,Speaker,Tech Supplies,UPI,66,25.99,-253901692-07-05T11:44:32.888Z,United States,San Francisco,www.fakename.com,11,N,Unknown
12,19,Sindy Gardener,203,Mouse,Tech Supplies,UPI,76,5.99,-108072123-03-10T08:14:32.370Z,Canada,Vancouver,www.boguswebsite.com,12,Y,N/A
13,12,Inma Killam,109,null,Home Supplies,Internet Banking,45,0.88,-96732213-09-27T10:11:05.464Z,United States,San Francisco,null,13,N,Invalid billing address
14,81,Henrietta Wood,106,Screws,Home Supplies,null,12,4.84,null,Spain,Córdoba,null,14,Y,N/A
15,22,Georgie Gao,-1,Mixing bowl,Home Supplies,Internet Banking,68,6.45,-101026693-02-16T05:06:13.195Z,Canada,Vancouver,www.fakewebsite.com,null,N,Transaction limit exceeded
16,27,Shanelle Bolívar,-1,Speaker,Tech Supplies,Internet Banking,76,25.99,-66389049-08-16T05:19:57.743Z,Canada,Vancouver,www.fakewebsite.com,16,N,Unknown
17,23,null,207,Speaker,Tech Supplies,Wallet,44,25.99,null,Canada,Vancouver,www.fakewebsite.com,17,N,Transaction limit exceeded
18,27,Shanelle Bolívar,204,Charger,Tech Supplies,Wallet,51,10.99,+195772896-04-22T00:21:17.717Z,null,Vancouver,www.fakename.com,18,N,System failure
19,14,Heraclio Mathers,-1,Monitor,Tech Supplies,Wallet,17,249,-232414057-03-19T14:19:17.431Z,United States,null,www.fakewebsite.com,19,null,N/A
