1,12,Inma Killam,-1,Computer case,Tech Supplies,UPI,17,58.27,2010-07-26T11:59:02.001Z,United States,San Francisco,www.boguswebsite.com,1,Y,N/A
2,-1,Albert Campbell,303,Push-pin,School Supplies,UPI,73,1.14,2020-10-08T01:51:29.001Z,null,Quito,null,null,Y,N/A
3,34,Bertie Zavala,-1,Cutting board,Home Supplies,Internet Banking,49,17.99,2010-03-17T17:43:31.001Z,Paraguay,null,www.whatever.com,3,N,System failure
4,67,Kimberly Harper,307,null,School Supplies,UPI,71,0.97,2021-02-01T18:38:22.001Z,Ecuador,Quito,www.fakewebsite.com,4,Y,N/A
5,61,Cary Mason,110,Ice cube trays,Home Supplies,Wallet,78,2.44,2022-05-21T09:32:49.001Z,Ecuador,Quito,null,5,null,N/A
6,95,Kelly Hampton,103,Box cutter,Home Supplies,null,49,1.97,2019-05-10T18:21:46.001Z,Kuwait,Kuwait City,www.whatever.com,6,Y,N/A
7,21,Quentin Carr,201,Laptop,Tech Supplies,null,2,599.99,2021-11-17T23:24:40.001Z,null,Vancouver,www.whatever.com,7,null,null
8,93,Shaun Wade,311,Ballpoint,null,Wallet,57,5.47,2010-05-29T21:00:03.001Z,Kuwait,Kuwait City,www.dontlikeyou.com,null,Y,N/A
9,1,null,-1,Ice cube trays,null,Internet Banking,42,2.44,2019-02-19T23:53:51.001Z,United States,San Francisco,www.fakewebsite.com,9,N,Unknown
10,27,Shanelle Bolívar,203,null,null,Wallet,27,5.99,null,Canada,Vancouver,www.whatever.com,10,N,null
11,9,null,208,Computer case,Tech Supplies,UPI,24,58.27,2019-06-25T14:44:19.001Z,United States,San Francisco,www.dontlikeyou.com,11,Y,null
12,-1,Gordon Patrick,106,Screws,Home Supplies,card,84,4.84,2021-12-28T15:32:21.001Z,Italy,Bologna,www.boguswebsite.com,12,Y,N/A
13,19,Sindy Gardener,314,Pencil sharpener,School Supplies,Internet Banking,59,15.69,2021-07-23T08:29:46.001Z,Canada,Vancouver,www.boguswebsite.com,13,N,Unknown
14,52,Blanche Romero,204,Charger,Tech Supplies,null,2,10.99,2017-11-20T01:45:22.001Z,Italy,Bologna,www.whatever.com,14,N,null
15,69,Fredrick Kelly,204,Charger,Tech Supplies,card,8,10.99,2017-04-19T03:15:03.001Z,Ecuador,Quito,www.fakewebsite.com,15,Y,N/A
16,75,Roger Boyd,104,Ladder,Home Supplies,Internet Banking,36,59.98,2013-12-30T04:16:33.001Z,Ecuador,Quito,www.fakename.com,16,null,N/A
17,32,Lorna Wolf,-1,Mop,Home Supplies,Wallet,56,12.0,2016-11-20T08:29:04.001Z,Paraguay,Asunción,www.whatever.com,null,N,Unknown
18,45,Xiadani Fishman,-1,null,Tech Supplies,null,19,19.89,2010-03-10T19:59:18.001Z,Paraguay,Asunción,www.fakename.com,18,N,Invalid billing address
19,12,null,107,Measuring cup,null,UPI,16,1.88,null,United States,San Francisco,www.fakewebsite.com,19,null,N/A
20,80,Angelica Rose,314,Pencil sharpener,School Supplies,Internet Banking,77,15.69,2019-09-24T17:53:46.001Z,Spain,Córdoba,www.whatever.com,20,Y,N/A
