1,71,Jorge Casey,204,Charger,Tech Supplies,Wallet,68,10.99,2018-05-05T23:48:42.001Z,Ecuador,Quito,www.fakename.com,1,Y,N/A
2,-1,Lionel Little,106,Screws,Home Supplies,Internet Banking,12,4.84,2010-02-25T12:57:10.001Z,Spain,Córdoba,www.fakewebsite.com,2,N,Invalid billing address
3,97,Shannon Swanson,107,Measuring cup,Home Supplies,UPI,10,1.88,2014-10-13T22:52:13.001Z,Kuwait,Kuwait City,www.fakename.com,3,Y,N/A
4,98,Sean Boone,201,Laptop,Tech Supplies,Wallet,82,599.99,2019-05-04T23:07:15.001Z,Kuwait,Kuwait City,null,4,Y,N/A
5,60,Bobby Montgomery,107,Measuring cup,Home Supplies,card,52,1.88,2018-01-01T04:47:18.001Z,Italy,Bologna,www.fakename.com,5,N,System failure
6,1,Ricky Begbie,204,Charger,Tech Supplies,UPI,56,10.99,2019-04-10T18:50:33.001Z,United States,San Francisco,www.whatever.com,6,N,Unknown
7,2,Azahar McGill,319,Sticky notes,School Supplies,UPI,59,11.98,2019-04-13T17:15:09.001Z,United States,San Francisco,www.boguswebsite.com,7,N,System failure
8,11,Pete Del Río,201,Laptop,Tech Supplies,Internet Banking,88,599.99,2014-06-16T10:56:48.001Z,United States,San Francisco,www.dontlikeyou.com,8,Y,N/A
9,74,Alison Hanson,102,Mop,Home Supplies,card,60,12.0,2010-03-30T12:03:36.001Z,Ecuador,Quito,www.fakewebsite.com,9,Y,N/A
10,73,Albert Campbell,205,Printer,Tech Supplies,card,25,74.0,2012-05-02T08:05:47.001Z,Ecuador,Quito,www.fakewebsite.com,10,Y,N/A
11,83,Angie Barnes,311,Ballpoint,School Supplies,Wallet,12,5.47,2017-10-09T15:25:39.001Z,Spain,Córdoba,www.fakewebsite.com,11,Y,N/A
12,15,Cate Hsu,106,Screws,Home Supplies,Wallet,83,4.84,2014-01-20T17:02:53.001Z,United States,San Francisco,www.whatever.com,12,N,Transaction limit exceeded
13,46,Janine Doctor,314,Pencil sharpener,School Supplies,Internet Banking,56,15.69,2018-03-23T07:44:00.001Z,Italy,Bologna,www.whatever.com,13,Y,N/A
14,7,Goldie Balfour,316,Calculator,School Supplies,card,68,5.62,2014-07-26T11:25:20.001Z,United States,San Francisco,www.dontlikeyou.com,14,N,Unknown
15,54,Guadalupe Thomas,109,Dinner plates,Home Supplies,UPI,38,0.88,2020-11-15T03:43:46.001Z,Italy,Bologna,www.whatever.com,15,Y,N/A
16,25,Jorie Stevens,102,Mop,Home Supplies,card,89,12.0,2011-02-27T10:44:44.001Z,Canada,Vancouver,www.fakewebsite.com,16,Y,N/A
17,81,Henrietta Wood,110,Ice cube trays,Home Supplies,Internet Banking,66,2.44,2012-03-10T14:40:19.001Z,Spain,Córdoba,www.fakename.com,17,Y,N/A
18,33,Bart Kwok,106,Screws,Home Supplies,UPI,81,4.84,2010-03-22T22:40:52.001Z,Paraguay,Asunción,www.fakewebsite.com,18,Y,N/A
19,67,Kimberly Harper,203,Mouse,Tech Supplies,UPI,24,5.99,2011-07-03T11:40:02.001Z,Ecuador,Quito,www.fakename.com,19,Y,N/A
20,14,Heraclio Mathers,110,Ice cube trays,Home Supplies,UPI,38,2.44,2019-04-16T05:43:31.001Z,United States,San Francisco,www.dontlikeyou.com,20,Y,N/A
21,52,Blanche Romero,208,Computer case,Tech Supplies,Wallet,19,58.27,2013-02-10T13:49:19.001Z,null,Bologna,www.dontlikeyou.com,21,N,Invalid billing address
22,58,Gordon Patrick,319,Sticky notes,null,Wallet,21,11.98,2017-01-08T06:55:45.001Z,Italy,Bologna,www.fakewebsite.com,22,N,Invalid payment method
23,81,Henrietta Wood,303,Push-pin,School Supplies,Internet Banking,36,1.14,2017-09-25T21:15:08.001Z,Spain,Córdoba,www.fakewebsite.com,23,N,Transaction limit exceeded
24,15,Cate Hsu,318,Scissors,School Supplies,UPI,90,8.54,2014-03-24T08:18:30.001Z,United States,San Francisco,www.dontlikeyou.com,24,N,Transaction limit exceeded
25,92,Jeannie Elliott,108,Cutting board,Home Supplies,UPI,35,17.99,2016-04-15T18:21:14.001Z,Kuwait,Kuwait City,www.fakewebsite.com,25,Y,N/A
